2026-01-13 13:14:39 | INFO | __main__:main:50 | Bot initialized
2026-01-13 13:14:39 | INFO | __main__:main:53 | Starting STELS-Support bot...
2026-01-13 13:14:39 | INFO | modules.bot:start:48 | Bot started polling
2026-01-13 13:20:08 | INFO | modules.bot:start_command:100 | Created new chat for user 5561600494
2026-01-13 13:47:42 | INFO | modules.bot:start_command:100 | Created new chat for user 1056853802
2026-01-13 13:52:53 | INFO | modules.bot:start_command:100 | Created new chat for user 5438290317
2026-01-13 13:53:21 | INFO | modules.bot:request_manager:542 | Notification sent to staff 8035667634 for chat 5
2026-01-13 13:58:20 | INFO | modules.bot:request_manager:542 | Notification sent to staff 8035667634 for chat 4
2026-01-13 14:03:48 | INFO | modules.bot:start_command:100 | Created new chat for user 705867842
2026-01-13 17:52:49 | INFO | modules.bot:start_command:100 | Created new chat for user 728763367
2026-01-13 17:53:22 | INFO | __main__:main:45 | Database initialized
2026-01-13 17:53:23 | INFO | modules.bot:initialize:44 | Bot handlers registered
2026-01-13 17:53:23 | INFO | __main__:main:50 | Bot initialized
2026-01-13 17:53:23 | INFO | __main__:main:53 | Starting STELS-Support bot...
2026-01-13 17:53:23 | INFO | modules.bot:start:48 | Bot started polling
2026-01-13 17:54:22 | INFO | __main__:main:45 | Database initialized
2026-01-13 17:54:22 | INFO | modules.bot:initialize:45 | Bot handlers registered
2026-01-13 17:54:22 | INFO | __main__:main:50 | Bot initialized
2026-01-13 17:54:22 | INFO | __main__:main:53 | Starting STELS-Support bot...
2026-01-13 17:54:22 | INFO | modules.bot:start:49 | Bot started polling
2026-01-13 17:54:58 | INFO | modules.bot:start_command:101 | Created new chat for user 1624486289
2026-01-13 17:55:43 | INFO | modules.bot:start_command:101 | Created new chat for user 750896997
2026-01-13 17:56:15 | INFO | modules.bot:start_command:101 | Created new chat for user 447355632
2026-01-13 18:01:03 | INFO | __main__:main:45 | Database initialized
2026-01-13 18:01:03 | INFO | modules.bot:initialize:45 | Bot handlers registered
2026-01-13 18:01:03 | INFO | __main__:main:50 | Bot initialized
2026-01-13 18:01:03 | INFO | __main__:main:53 | Starting STELS-Support bot...
2026-01-13 18:01:03 | INFO | modules.bot:start:49 | Bot started polling
2026-01-13 18:03:10 | INFO | __main__:main:45 | Database initialized
2026-01-13 18:03:10 | INFO | modules.bot:initialize:45 | Bot handlers registered
2026-01-13 18:03:10 | INFO | __main__:main:50 | Bot initialized
2026-01-13 18:03:10 | INFO | __main__:main:53 | Starting STELS-Support bot...
2026-01-13 18:03:10 | INFO | modules.bot:start:49 | Bot started polling
2026-01-13 18:04:20 | INFO | __main__:main:45 | Database initialized
2026-01-13 18:04:20 | INFO | modules.bot:initialize:45 | Bot handlers registered
2026-01-13 18:04:20 | INFO | __main__:main:50 | Bot initialized
2026-01-13 18:04:20 | INFO | __main__:main:53 | Starting STELS-Support bot...
2026-01-13 18:04:20 | INFO | modules.bot:start:49 | Bot started polling
2026-01-13 18:08:06 | INFO | __main__:main:45 | Database initialized
2026-01-13 18:08:06 | INFO | modules.bot:initialize:45 | Bot handlers registered
2026-01-13 18:08:06 | INFO | __main__:main:50 | Bot initialized
2026-01-13 18:08:06 | INFO | __main__:main:53 | Starting STELS-Support bot...
2026-01-13 18:08:06 | INFO | modules.bot:start:49 | Bot started polling
2026-01-13 18:08:16 | INFO | modules.bot:start_command:101 | Created new chat for user 170563895
2026-01-13 18:08:21 | INFO | modules.bot:start_command:101 | Created new chat for user 274829941
2026-01-13 18:08:34 | INFO | modules.bot:request_manager:675 | Notification sent to staff 8035667634 for chat 12
2026-01-13 18:08:48 | INFO | __main__:main:45 | Database initialized
2026-01-13 18:08:49 | INFO | modules.bot:initialize:45 | Bot handlers registered
2026-01-13 18:08:49 | INFO | __main__:main:50 | Bot initialized
2026-01-13 18:08:49 | INFO | __main__:main:53 | Starting STELS-Support bot...
2026-01-13 18:08:49 | INFO | modules.bot:start:49 | Bot started polling
2026-01-13 18:08:53 | INFO | modules.bot:request_manager:675 | Notification sent to staff 8035667634 for chat 11
2026-01-13 18:09:18 | INFO | __main__:main:45 | Database initialized
2026-01-13 18:09:19 | INFO | modules.bot:initialize:45 | Bot handlers registered
2026-01-13 18:09:19 | INFO | __main__:main:50 | Bot initialized
2026-01-13 18:09:19 | INFO | __main__:main:53 | Starting STELS-Support bot...
2026-01-13 18:09:19 | INFO | modules.bot:start:49 | Bot started polling
2026-01-13 18:09:55 | INFO | __main__:main:45 | Database initialized
2026-01-13 18:09:55 | INFO | modules.bot:initialize:45 | Bot handlers registered
2026-01-13 18:09:55 | INFO | __main__:main:50 | Bot initialized
2026-01-13 18:09:55 | INFO | __main__:main:53 | Starting STELS-Support bot...
2026-01-13 18:09:55 | INFO | modules.bot:start:49 | Bot started polling
2026-01-13 18:12:04 | INFO | __main__:main:45 | Database initialized
2026-01-13 18:12:04 | INFO | modules.bot:initialize:45 | Bot handlers registered
2026-01-13 18:12:04 | INFO | __main__:main:50 | Bot initialized
2026-01-13 18:12:04 | INFO | __main__:main:53 | Starting STELS-Support bot...
2026-01-13 18:12:04 | INFO | modules.bot:start:49 | Bot started polling
2026-01-13 18:12:22 | INFO | modules.bot:start_command:101 | Created new chat for user 274829941
2026-01-13 18:16:38 | INFO | __main__:main:45 | Database initialized
2026-01-13 18:16:38 | INFO | modules.bot:initialize:45 | Bot handlers registered
2026-01-13 18:16:38 | INFO | __main__:main:50 | Bot initialized
2026-01-13 18:16:38 | INFO | __main__:main:53 | Starting STELS-Support bot...
2026-01-13 18:16:38 | INFO | modules.bot:start:49 | Bot started polling
2026-01-13 18:17:05 | INFO | modules.bot:start_command:101 | Created new chat for user 274829941
2026-01-13 18:17:24 | INFO | __main__:main:45 | Database initialized
2026-01-13 18:17:24 | INFO | modules.bot:initialize:45 | Bot handlers registered
2026-01-13 18:17:24 | INFO | __main__:main:50 | Bot initialized
2026-01-13 18:17:24 | INFO | __main__:main:53 | Starting STELS-Support bot...
2026-01-13 18:17:24 | INFO | modules.bot:start:49 | Bot started polling
2026-01-13 18:17:57 | INFO | __main__:main:45 | Database initialized
2026-01-13 18:17:57 | INFO | modules.bot:initialize:45 | Bot handlers registered
2026-01-13 18:17:57 | INFO | __main__:main:50 | Bot initialized
2026-01-13 18:17:57 | INFO | __main__:main:53 | Starting STELS-Support bot...
2026-01-13 18:17:57 | INFO | modules.bot:start:49 | Bot started polling
